,id_participante,id_mensaje,enviado,tipo,subtipo,recibido,clase,recibido_limpio,recibido_corregido,recibido_corregido_sin_emoticones,recibido_corregido_significado_emoticones,recibido_corregido_significado_emoticones_sin_tildes,recibido_corregido_significado_emoticones_sin_stop_words,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words,recibido_corregido_significado_emoticones_sin_stop_words_lematizada,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words_lematizada,recibido_corregido_significado_emoticones_sin_stop_words_stemetizada,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words_stemetizada
10,3,11," ¿Sabías que si bajas de peso vas a mejorar su salud? Te va a bajar el azúcar en la sangre, la presión arterial y también el colesterol.",educativo,,Si,respuesta a consejo o pregunta,si,si,si,si,si,si,si,si,si,si,si
11,3,12," ¿Sabías que si bajas de peso vas a mejorar su salud? Te va a bajar el azúcar en la sangre, la presión arterial y también el colesterol.",educativo,,Buenos días  .... le escribo  que no puedo llegar al turno de hoy estoy descompuesta  de la panza  mil disculpas pueden re programarme el turno  para el otro lunes  por favor,turno,buenos días le escribo que no puedo llegar al turno de hoy estoy descompuesta de la panza mil disculpas pueden re programarme el turno para el otro lunes por favor,buenos días le escribo que no puedo llegar al turno de hoy estoy descompuesta de la panza mil disculpas pueden re programarme el turno para el otro lunes por favor,buenos días le escribo que no puedo llegar al turno de hoy estoy descompuesta de la panza mil disculpas pueden re programarme el turno para el otro lunes por favor,buenos días le escribo que no puedo llegar al turno de hoy estoy descompuesta de la panza mil disculpas pueden re programarme el turno para el otro lunes por favor,buenos dias le escribo que no puedo llegar al turno de hoy estoy descompuesta de la panza mil disculpas pueden re programarme el turno para el otro lunes por favor,buenos días escribo no puedo llegar turno hoy descompuesta panza mil disculpas pueden re programarme turno lunes favor,buenos dias escribo no puedo llegar turno hoy descompuesta panza mil disculpas pueden re programarme turno lunes favor,buen día escribir no poder llegar turno hoy descompuesta panza mil disculpa poder re programar yo turno lunes favor,buen dias escribo no poder llegar turno hoy descompuesta panza mil disculpa poder re programar yo turno lunes favor,buen dias escrib no pued lleg turn hoy descompuest panz mil disculp pued re program turn lun favor,buen dias escrib no pued lleg turn hoy descompuest panz mil disculp pued re program turn lun favor
12,4,13,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
13,4,14,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,gracias a ud,agradecimiento,gracias a ud,gracias a usted,gracias a usted,gracias a usted,gracias a usted,gracias usted,gracias usted,gracias usted,gracias usted,graci usted,graci usted
14,4,15, La DIABETES es una enfermedad que dura toda la vida (crónica). La falta de insulina o la dificultad para utilizarla hace que el azúcar de los alimentos aumente y se acumule en la sangre (azúcar alta en sangre).,educativo,,buenos dias gracias por el dato,agradecimiento,buenos dias gracias por el dato,buenos dias gracias por el dato,buenos dias gracias por el dato,buenos dias gracias por el dato,buenos dias gracias por el dato,buenos dias gracias dato,buenos dias gracias dato,buen dia gracias dato,buen dia gracias dato,buen dias graci dat,buen dias graci dat
15,4,16," Si tus valores de azúcar en sangre están altos, visita a tu médico. ¡Él ayudará a que bajen para que  puedas estar bien!",educativo,glicemia,gracias x el consejo,agradecimiento,gracias x el consejo,gracias por el consejo,gracias por el consejo,gracias por el consejo,gracias por el consejo,gracias consejo,gracias consejo,gracias consejo,gracias consejo,graci consej,graci consej
16,4,17, Recuerda cambiar el lugar del cuerpo donde te aplica la insulina. Podés aplicarte en un mismo lugar durante una semana y despues cambiar a otro.,educativo,,buen dia donde mas aparte de panza y brasos donde mas se puede aplicar la insulina,pregunta,buen dia donde mas aparte de panza y brasos donde mas se puede aplicar la insulina,buen día donde más aparte de panza y brasos donde más se puede aplicar la insulina,buen día donde más aparte de panza y brasos donde más se puede aplicar la insulina,buen día donde más aparte de panza y brasos donde más se puede aplicar la insulina,buen dia donde mas aparte de panza y brasos donde mas se puede aplicar la insulina,buen día donde aparte panza brasos donde puede aplicar insulina,buen dia donde mas aparte panza brasos donde mas puede aplicar insulina,buen día donde aparte panza braso donde poder aplicar insulina,buen dia donde mas aparte panzar braso donde mas poder aplicar insulina,buen dia dond apart panz bras dond pued aplic insulin,buen dia dond mas apart panz bras dond mas pued aplic insulin
17,4,18, Recuerda cambiar el lugar del cuerpo donde te aplica la insulina. Podés aplicarte en un mismo lugar durante una semana y despues cambiar a otro.,educativo,,gracias,agradecimiento,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,graci,graci
18,4,19, La insulina evita que la DIABETES avance. Ayuda a que el azúcar en la sangre no suba.,educativo,,buenos dias y gracias,agradecimiento,buenos dias y gracias,buenos dias y gracias,buenos dias y gracias,buenos dias y gracias,buenos dias y gracias,buenos dias gracias,buenos dias gracias,buen dia gracia,buen dia gracia,buen dias graci,buen dias graci
19,4,20, Las complicaciones que causa la DIABETES (como el infarto y la ceguera) pueden evitarse. ¿Cómo? Cuidándose. Chárlalo con tu médico.,educativo,,hola gracias x el consejo,agradecimiento,hola gracias x el consejo,hola gracias por el consejo,hola gracias por el consejo,hola gracias por el consejo,hola gracias por el consejo,hola gracias consejo,hola gracias consejo,holar gracias consejo,holar gracias consejo,hol graci consej,hol graci consej
20,4,21," ¿Sabías que un plato saludable incluye hidratos de carbono (que están en el arroz o las lentejas), verduras y carnes?",educativo,,muchas gracias,agradecimiento,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,mucho gracia,mucho gracia,much graci,much graci
21,4,22," ¿Sabías que si bajas de peso vas a mejorar su salud? Te va a bajar el azúcar en la sangre, la presión arterial y también el colesterol.",educativo,,muchas gracias,agradecimiento,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,mucho gracia,mucho gracia,much graci,much graci
22,4,23," Si tenes DIABETES, es importante que tu presión arterial no sea mayor a ""14/9"". Así evitarás tener problemas en el corazón y en los riñones.",educativo,,muchas gracias,agradecimiento,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,mucho gracia,mucho gracia,much graci,much graci
23,4,24," Si notas que en el lugar donde te inyecta la insulina tenes como pelotitas duras, avisale al médico.",educativo,,gracias muy amable,agradecimiento,gracias muy amable,gracias muy amable,gracias muy amable,gracias muy amable,gracias muy amable,gracias muy amable,gracias muy amable,gracias mucho amable,gracias mucho amable,graci muy amabl,graci muy amabl
24,4,25, La DIABETES a veces es silenciosa. Algunas personas no tienen síntomas y no se dan cuenta de que su azúcar está alta.  ¿Te mediste  el azúcar últimamente?,educativo,glicemia,buen dia si la mayoria de los dias,respuesta a consejo o pregunta,buen dia si la mayoria de los dias,buen día si la mayoria de los dias,buen día si la mayoria de los dias,buen día si la mayoria de los dias,buen dia si la mayoria de los dias,buen día si mayoria dias,buen dia si mayoria dias,buen día si mayoriar dia,buen dia si mayoriar dia,buen dia si mayori dias,buen dia si mayori dias
25,4,26," ¿Cuándo fue la última vez que viste al médico? Si pasaron más de 3 meses desde la última visita, pedi un turno.",educativo,,buen dia si el mes pasado el dia 7.12.22 fui a la consulta,respuesta a consejo o pregunta,buen dia si el mes pasado el dia 7 12 22 fui a la consulta,buen día si el mes pasado el día 7 12 22 fui a la consulta,buen día si el mes pasado el día 7 12 22 fui a la consulta,buen día si el mes pasado el día 7 12 22 fui a la consulta,buen dia si el mes pasado el dia 7 12 22 fui a la consulta,buen día si mes pasado día 7 12 22 fui consulta,buen dia si mes pasado dia 7 12 22 fui consulta,buen día si mes pasado día 7 12 22 ir consultar,buen dia si mes pasado diar 7 12 22 ir consultar,buen dia si mes pas dia 7 12 22 fui consult,buen dia si mes pas dia 7 12 22 fui consult
26,4,27, ¿Sabías que cuidar los pies es muy importante para las personas con DIABETES? Recuerda lavar y revisar sus pies todos los días.,educativo,,si muchas gracias,respuesta a consejo o pregunta,si muchas gracias,si muchas gracias,si muchas gracias,si muchas gracias,si muchas gracias,si muchas gracias,si muchas gracias,si mucho gracia,si mucho gracia,si much graci,si much graci
27,4,28, Evita caminar sin zapatos porque se pueden producir heridas en los pies. Las personas con DIABETES tienen los pies más sensibles. ¡Cuídelos!,educativo,,gracias muy amable,agradecimiento,gracias muy amable,gracias muy amable,gracias muy amable,gracias muy amable,gracias muy amable,gracias muy amable,gracias muy amable,gracias mucho amable,gracias mucho amable,graci muy amabl,graci muy amabl
28,4,29, Algunas personas que tienen DIABETES pueden sentirse tristes o abatidas por la enfermedad. Si te sentis así háblalo con tu familia y con tu médico.,educativo,,gracias buen dia,agradecimiento,gracias buen dia,gracias buen día,gracias buen día,gracias buen día,gracias buen dia,gracias buen día,gracias buen dia,gracias buen día,gracias buen dia,graci buen dia,graci buen dia
29,4,30, ¿Estás estresado o preocupado? Haciendo actividad física 30 minutos al día  vas a cuidar tu DIABETES y te vas a sentir más relajado y tranquilo.,educativo,,hola buen dia gracias,agradecimiento,hola buen dia gracias,hola buen día gracias,hola buen día gracias,hola buen día gracias,hola buen dia gracias,hola buen día gracias,hola buen dia gracias,holar buen día gracias,holar buen diar gracia,hol buen dia graci,hol buen dia graci
30,4,31, Recuerda que lo ideal es hacer 30 minutos al día de actividad física o ejercicio. Comienza con algo fácil y subí poco a poco la cantidad de tiempo. Comé algo antes de empezar.,educativo,,hola buen dia y muchas gracias,agradecimiento,hola buen dia y muchas gracias,hola buen día y muchas gracias,hola buen día y muchas gracias,hola buen día y muchas gracias,hola buen dia y muchas gracias,hola buen día muchas gracias,hola buen dia muchas gracias,holar buen día mucho gracia,holar buar diar mucho gracia,hol buen dia much graci,hol buen dia much graci
31,4,32, La DIABETES a veces es silenciosa. Algunas personas no tienen síntomas y no se dan cuenta de que su azúcar está alta.  ¿Te mediste  el azúcar últimamente?,educativo,glicemia,hola buen dia si todos los dias,respuesta a consejo o pregunta,hola buen dia si todos los dias,hola buen día si todos los dias,hola buen día si todos los dias,hola buen día si todos los dias,hola buen dia si todos los dias,hola buen día si dias,hola buen dia si dias,holar buen día si diar,holar buen diar si diar,hol buen dia si dias,hol buen dia si dias
32,4,33," Cuida tu Diabetes comiendo frutas y verduras en la merienda en lugar de facturas, bizcochos, tortas y galletitas.",educativo,,gracias x el consejo,agradecimiento,gracias x el consejo,gracias por el consejo,gracias por el consejo,gracias por el consejo,gracias por el consejo,gracias consejo,gracias consejo,gracias consejo,gracias consejo,graci consej,graci consej
33,4,34, El tratamiento para la DIABETES dura toda la vida. Acostumbrarse a hacer el tratamiento todos los días te ayudará a que vivas más y mejor.,educativo,,hola muchas gracias,agradecimiento,hola muchas gracias,hola muchas gracias,hola muchas gracias,hola muchas gracias,hola muchas gracias,hola muchas gracias,hola muchas gracias,holar mucho gracia,holar mucho gracia,hol much graci,hol much graci
34,4,35, Si te bajan los valores del azúcar en sangre es porque el medicamento te hace efecto. ¡Por eso es importante seguirlo tomando siempre!,educativo,,buen dia gracias,agradecimiento,buen dia gracias,buen día gracias,buen día gracias,buen día gracias,buen dia gracias,buen día gracias,buen dia gracias,buen día gracias,buen dia gracia,buen dia graci,buen dia graci
35,4,36," No dejes de aplicarte la insulina para la DIABETES. Si abandonas el tratamiento, el azúcar en sangre volverá a subir y no te vas a sentir bien.",educativo,,gracias,agradecimiento,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,graci,graci
36,4,37, Fijate cuántas lapiceras con insulina te quedan. Visita al médico para conseguir una receta antes de que se te acaben.,educativo,,hola buen dia gracias,agradecimiento,hola buen dia gracias,hola buen día gracias,hola buen día gracias,hola buen día gracias,hola buen dia gracias,hola buen día gracias,hola buen dia gracias,holar buen día gracias,holar buen diar gracia,hol buen dia graci,hol buen dia graci
37,4,38, Recuerda visitar a su médico al menos cada 3 meses para chequear cómo está tu DIABETES.,educativo,,hola buen dia gracias,agradecimiento,hola buen dia gracias,hola buen día gracias,hola buen día gracias,hola buen día gracias,hola buen dia gracias,hola buen día gracias,hola buen dia gracias,holar buen día gracias,holar buen diar gracia,hol buen dia graci,hol buen dia graci
38,4,39, Recuerda que para evitar tener un bajón de azúcar (debajo de 70) es importante que no saltees comidas ni hagas ayunos prolongados.,educativo,,gracias,agradecimiento,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,graci,graci
39,4,40, ¿Sabías que tener alta el azúcar en la sangre puede afectar la vista? Visita al oculista para chequear cómo están tus ojos.,educativo,vista,buenos dias y gracias,agradecimiento,buenos dias y gracias,buenos dias y gracias,buenos dias y gracias,buenos dias y gracias,buenos dias y gracias,buenos dias gracias,buenos dias gracias,buen dia gracia,buen dia gracia,buen dias graci,buen dias graci
40,4,41, ¿Sabías que para controlar el azúcar alta hay que hacerse un análisis en sangre de hemoglobina glicosilada cada 6 meses? Consulta al médico.,educativo,glicemia,buen dia si sabia gracias,agradecimiento,buen dia si sabia gracias,buen día si sabia gracias,buen día si sabia gracias,buen día si sabia gracias,buen dia si sabia gracias,buen día si sabia gracias,buen dia si sabia gracias,buen día si sabiar gracia,buen dia si saber gracia,buen dia si sabi graci,buen dia si sabi graci
41,4,42," Si tenés presión alta, anota tus valores de presión en un papel y llevalos a la consulta con el médico. Así puede saber como va el tratamiento.",educativo,,buen dia gracias por el consejo,agradecimiento,buen dia gracias por el consejo,buen día gracias por el consejo,buen día gracias por el consejo,buen día gracias por el consejo,buen dia gracias por el consejo,buen día gracias consejo,buen dia gracias consejo,buen día gracias consejo,buen dia gracias consejo,buen dia graci consej,buen dia graci consej
42,4,43, Podés tener tu presión normal si usas menos sal en tu comida. Proteje tu corazón.,educativo,,hola buen dia gracias x los consejos,agradecimiento,hola buen dia gracias x los consejos,hola buen día gracias por los consejos,hola buen día gracias por los consejos,hola buen día gracias por los consejos,hola buen dia gracias por los consejos,hola buen día gracias consejos,hola buen dia gracias consejos,holar buen día graciar consejo,holar buen diar gracia consejo,hol buen dia graci consej,hol buen dia graci consej
43,4,44," Haciendo actividad física al menos 30 minutos al día va a bajar el azúcar, la presión y vas evitar enfermedades. No te olvides de hacer una colación antes (una fruta, un yogurt o una galleta con queso fresco)",educativo,,hola buen dia gracias x el concejo,agradecimiento,hola buen dia gracias x el concejo,hola buen día gracias por el consejo,hola buen día gracias por el consejo,hola buen día gracias por el consejo,hola buen dia gracias por el consejo,hola buen día gracias consejo,hola buen dia gracias consejo,holar buen día gracias consejo,holar buen diar gracias consejo,hol buen dia graci consej,hol buen dia graci consej
44,4,45," La tentación de comer alimentos con grasa y dulces puede ser muy fuerte, pero recuerda que es importante estar bien.",educativo,,buen dia gracias,agradecimiento,buen dia gracias,buen día gracias,buen día gracias,buen día gracias,buen dia gracias,buen día gracias,buen dia gracias,buen día gracias,buen dia gracia,buen dia graci,buen dia graci
45,4,46," Planifica hacer actividad física o el ejercicio que más te guste. Te vas a divertir y además te va a ayudar a bajar la presión, el colesterol y el azúcar.",educativo,,hola muchas gracias,agradecimiento,hola muchas gracias,hola muchas gracias,hola muchas gracias,hola muchas gracias,hola muchas gracias,hola muchas gracias,hola muchas gracias,holar mucho gracia,holar mucho gracia,hol much graci,hol much graci
46,4,47, ¿Cuánto tiempo pasas mirando tele? Para ser una persona activa sólo necesita 30 minutos al día de actividad física!,educativo,,hola muchas gracias x el  consejo,agradecimiento,hola muchas gracias x el consejo,hola muchas gracias por el consejo,hola muchas gracias por el consejo,hola muchas gracias por el consejo,hola muchas gracias por el consejo,hola muchas gracias consejo,hola muchas gracias consejo,holar mucho gracia consejo,holar mucho gracia consejo,hol much graci consej,hol much graci consej
47,4,48, Si pasaron mas de 3 meses de la ultima vez que viste al medico. Pedi a un turno.,educativo,,hola si ya lo pedi gracias,respuesta a consejo o pregunta,hola si ya lo pedi gracias,hola si ya lo pedi gracias,hola si ya lo pedi gracias,hola si ya lo pedi gracias,hola si ya lo pedi gracias,hola si ya pedi gracias,hola si ya pedi gracias,holar si ya pedar gracias,holar si ya pedar gracias,hol si ya pedi graci,hol si ya pedi graci
48,4,49," No dejes la lapicera de insulina que estás usando expuesta al calor o la luz. Cuando hace mucho calor, después de la aplicación, guardala en la puerta de la heladera.",educativo,,hola asi lo hago gracias,respuesta a consejo o pregunta,hola asi lo hago gracias,hola asi lo hago gracias,hola asi lo hago gracias,hola asi lo hago gracias,hola asi lo hago gracias,hola asi hago gracias,hola asi hago gracias,holar asi hacer gracia,holar asi hacer gracia,hol asi hag graci,hol asi hag graci
49,4,50, Recorda cambiar el lugar del cuerpo donde te aplicas la insulina. Podes aplicarte en un mismo lugar durante una semana y después cambiar a otro.,educativo,,hola  si lo hago gracias,respuesta a consejo o pregunta,hola si lo hago gracias,hola si lo hago gracias,hola si lo hago gracias,hola si lo hago gracias,hola si lo hago gracias,hola si hago gracias,hola si hago gracias,holar si hacer gracia,holar si hacer gracia,hol si hag graci,hol si hag graci
50,4,51, El tratamiento para la DIABETES dura toda la vida. Acostumbrarse a hacer el tratamiento todos los días te ayudará a que vivas más y mejor.,educativo,,buen dia si lo hago asi,respuesta a consejo o pregunta,buen dia si lo hago asi,buen día si lo hago asi,buen día si lo hago asi,buen día si lo hago asi,buen dia si lo hago asi,buen día si hago asi,buen dia si hago asi,buen día si hacer asi,buen dia si hacer asi,buen dia si hag asi,buen dia si hag asi
51,4,52," Aunque te sientas bien, si tenés DIABETES o estás recibiendo un tratamiento para bajar el azúcar, visita al médico al menos cada 3 meses para un control.",educativo,,hola buen dia asi lo hago,respuesta a consejo o pregunta,hola buen dia asi lo hago,hola buen día asi lo hago,hola buen día asi lo hago,hola buen día asi lo hago,hola buen dia asi lo hago,hola buen día asi hago,hola buen dia asi hago,holar buen día asi hacer,holar buen dia asi hacer,hol buen dia asi hag,hol buen dia asi hag
52,4,53," Podés cuidar tu DIABETES. ¿Cómo? Haciendo ejercicio, evitando fumar, comiendo más verduras y frutas y eligiendo alimentos con menos azúcar y grasas.",educativo,,buen dia gracias x el concejo,agradecimiento,buen dia gracias x el concejo,buen día gracias por el consejo,buen día gracias por el consejo,buen día gracias por el consejo,buen dia gracias por el consejo,buen día gracias consejo,buen dia gracias consejo,buen día gracias consejo,buen dia gracias consejo,buen dia graci consej,buen dia graci consej
53,4,54," ¿Sabías que si bajas de peso vas a mejorar su salud? Te va a bajar el azúcar en la sangre, la presión arterial y también el colesterol.",educativo,,buen dia gracias x el concejo,agradecimiento,buen dia gracias x el concejo,buen día gracias por el consejo,buen día gracias por el consejo,buen día gracias por el consejo,buen dia gracias por el consejo,buen día gracias consejo,buen dia gracias consejo,buen día gracias consejo,buen dia gracias consejo,buen dia graci consej,buen dia graci consej
54,4,55, ¿Tenés controlados tus valores de azúcar en sangre? Consulta y controlate periódicamente con el médico de tu centro de salud.,educativo,glicemia,hola si lo hago todos los dias gracias,respuesta a consejo o pregunta,hola si lo hago todos los dias gracias,hola si lo hago todos los dias gracias,hola si lo hago todos los dias gracias,hola si lo hago todos los dias gracias,hola si lo hago todos los dias gracias,hola si hago dias gracias,hola si hago dias gracias,holar si hacer dia gracia,holar si hacer dia gracia,hol si hag dias graci,hol si hag dias graci
55,4,56, Aunque te sientas bien visita al médico en tu centro de salud para un control.,educativo,,hola yo lo hago hago asi gracias,respuesta a consejo o pregunta,hola yo lo hago hago asi gracias,hola yo lo hago hago asi gracias,hola yo lo hago hago asi gracias,hola yo lo hago hago asi gracias,hola yo lo hago hago asi gracias,hola hago hago asi gracias,hola hago hago asi gracias,hola hago hacer asi gracias,hola hago hacer asi gracias,hol hag hag asi graci,hol hag hag asi graci
56,4,57, No te dejes estar. Si tenés DIABETES visita al médico regularmente para cuidarte y estar bien. Pedi un turno en el centro de salud,educativo,,hola si lo hago gracias,respuesta a consejo o pregunta,hola si lo hago gracias,hola si lo hago gracias,hola si lo hago gracias,hola si lo hago gracias,hola si lo hago gracias,hola si hago gracias,hola si hago gracias,holar si hacer gracia,holar si hacer gracia,hol si hag graci,hol si hag graci
57,4,58, ¿Sabías que para controlar el azúcar alta hay que hacerse un análisis en sangre de hemoglobina glicosilada cada 6 meses? Consulta al médico.,educativo,glicemia,hola si ya lo hiciron gracias,respuesta a consejo o pregunta,hola si ya lo hiciron gracias,hola si ya lo hiciron gracias,hola si ya lo hiciron gracias,hola si ya lo hiciron gracias,hola si ya lo hiciron gracias,hola si ya hiciron gracias,hola si ya hiciron gracias,holar si ya hiciron gracia,holar si ya hiciron gracia,hol si ya hiciron graci,hol si ya hiciron graci
58,4,59," Si tomás medicamentos para la DIABETES o recibís insulina, ¡no ayunes ni saltees las comidas! Así evitarás hipoglucemias.",educativo,,hola buen dia gracias x  el concejo,agradecimiento,hola buen dia gracias x el concejo,hola buen día gracias por el consejo,hola buen día gracias por el consejo,hola buen día gracias por el consejo,hola buen dia gracias por el consejo,hola buen día gracias consejo,hola buen dia gracias consejo,holar buen día gracias consejo,holar buen diar gracias consejo,hol buen dia graci consej,hol buen dia graci consej
59,4,60, La DIABETES es una enfermedad que dura toda la vida (crónica). La falta de insulina o la dificultad para utilizarla hace que el azúcar de los alimentos aumente y se acumule en la sangre (azúcar alta en sangre).,educativo,,hola y gracias x todas los  concejos y recomendaciones,agradecimiento,hola y gracias x todas los concejos y recomendaciones,hola y gracias por todas los consejos y recomendaciones,hola y gracias por todas los consejos y recomendaciones,hola y gracias por todas los consejos y recomendaciones,hola y gracias por todas los consejos y recomendaciones,hola gracias todas consejos recomendaciones,hola gracias todas consejos recomendaciones,holar gracias todo consejo recomendación,holar gracias todo consejo recomendación,hol graci tod consej recomend,hol graci tod consej recomend
60,4,61, Consulta con tu médico para chequear tus niveles de azúcar en sangre. ¡El diagnóstico se hace con un análisis muy simple! Aconsejale también a tus familiares que se midan el azucar.,educativo,glicemia,hola muchas gracias x el concejo,agradecimiento,hola muchas gracias x el concejo,hola muchas gracias por el consejo,hola muchas gracias por el consejo,hola muchas gracias por el consejo,hola muchas gracias por el consejo,hola muchas gracias consejo,hola muchas gracias consejo,holar mucho gracia consejo,holar mucho gracia consejo,hol much graci consej,hol much graci consej
61,4,62," La DIABETES es una enfermedad crónica pero si se puede controlar! Si estás controlado, vas a estar bien y llevar una vida normal.",educativo,,hola y muchas gracias,agradecimiento,hola y muchas gracias,hola y muchas gracias,hola y muchas gracias,hola y muchas gracias,hola y muchas gracias,hola muchas gracias,hola muchas gracias,holar mucho gracia,holar mucho gracia,hol much graci,hol much graci
